time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-26T19:46:33.160Z,42.451,-122.5448333,-1.56,1.45,md,5,201,0.2932,0.22,uw,uw61130797,2016-04-26T20:35:56.930Z,"21km E of Eagle Point, Oregon",explosion,1.3,31.61,0.093,4,reviewed,uw,uw
2016-04-26T19:45:03.320Z,42.2036667,-121.3625,-1.6,2.24,ml,13,77,0.2583,0.2,uw,uw60124208,2016-04-26T20:33:49.660Z,"29km NNE of Tulelake, California",explosion,0.64,31.61,0.091,23,reviewed,uw,uw
2016-04-26T19:33:27.360Z,37.8441,143.0419,11.2,4.6,mb,,70,1.782,0.94,us,us10005br8,2016-04-26T21:51:22.337Z,"165km ESE of Ishinomaki, Japan",earthquake,7,4.5,0.061,80,reviewed,us,us
2016-04-26T19:29:13.650Z,46.6801667,-122.8571667,18.14,1.32,ml,9,135,0.2349,0.29,uw,uw61130792,2016-04-26T19:53:41.530Z,"8km ESE of Centralia, Washington",earthquake,0.7,2.61,0.207,8,reviewed,uw,uw
2016-04-26T19:08:42.380Z,34.4556667,-118.9206667,1.06,2.18,ml,48,32,0.04636,0.31,ci,ci37336663,2016-04-26T20:26:18.892Z,"6km N of Fillmore, CA",earthquake,0.27,0.71,0.141,57,reviewed,ci,ci
2016-04-26T19:02:47.920Z,24.0807,126.2389,10.89,4.8,mb,,116,2.97,0.91,us,us10005bqy,2016-04-26T21:31:34.264Z,"125km SE of Hirara, Japan",earthquake,8.4,5.4,0.06,87,reviewed,us,us
2016-04-26T18:46:51.570Z,35.7427,-97.1758,6.01,3.7,mb_lg,,23,0.088,0.54,us,us10005bqu,2016-04-26T20:48:09.860Z,"9km N of Luther, Oklahoma",earthquake,1.9,5.1,0.047,121,reviewed,us,us
2016-04-26T18:40:33.910Z,33.7075,-116.8136667,16.11,1.11,ml,33,95,0.08237,0.12,ci,ci37336655,2016-04-26T20:02:16.237Z,"9km ESE of Valle Vista, CA",earthquake,0.26,0.38,0.201,28,reviewed,ci,ci
2016-04-26T18:36:36.240Z,34.4611667,-118.93,0.37,2.4,ml,51,35,0.05235,0.3,ci,ci37336647,2016-04-26T19:36:08.839Z,"7km N of Fillmore, CA",earthquake,0.27,0.68,0.114,72,reviewed,ci,ci
2016-04-26T18:32:47.430Z,35.7339,-97.1713,6.81,2.8,mb_lg,,28,0.08,0.51,us,us10005bqm,2016-04-26T19:05:21.397Z,"8km NNE of Luther, Oklahoma",earthquake,1.7,6,0.069,54,reviewed,us,us
2016-04-26T18:27:33.050Z,34.3406667,-116.8811667,-1.41,1.13,ml,51,64,0.04504,0.21,ci,ci37336639,2016-04-26T19:11:17.931Z,"10km NNW of Big Bear City, CA",quarry blast,0.31,31.61,0.1,15,reviewed,ci,ci
2016-04-26T18:21:41.730Z,37.6269989,-118.8903351,4.05,1.27,md,22,99,0.01001,0.04,nc,nc72627605,2016-04-26T21:27:04.008Z,"7km ESE of Mammoth Lakes, California",earthquake,0.29,0.33,0.17,19,automatic,nc,nc
2016-04-26T18:16:25.380Z,34.0241667,-117.1986667,13.41,1.23,ml,67,32,0.07252,0.17,ci,ci37336623,2016-04-26T18:39:14.690Z,"4km SSW of Redlands, CA",earthquake,0.16,0.34,0.165,36,reviewed,ci,ci
2016-04-26T18:10:22.000Z,64.0764,-148.3376,16.2,1.6,ml,,,,0.47,ak,ak13497378,2016-04-26T18:38:18.590Z,"39km NE of Healy, Alaska",earthquake,0.6,0.3,,,automatic,ak,ak
2016-04-26T18:07:05.390Z,19.3591667,-155.3046667,2.926,1.14,md,30,55,0.02362,0.09,hv,hv61242246,2016-04-26T20:47:37.960Z,"10km SW of Volcano, Hawaii",earthquake,0.25,0.4,0.152,11,reviewed,hv,hv
2016-04-26T17:59:16.990Z,19.408,-155.638,4.1,2.16,ml,16,153,0.01112,0.08,hv,hv61242236,2016-04-26T20:55:45.760Z,"24km ESE of Honaunau-Napoopoo, Hawaii",earthquake,0.44,0.47,0.213,7,reviewed,hv,hv
2016-04-26T17:31:43.180Z,-17.9917,-178.4343,574.69,4.8,mb,,74,3.354,0.71,us,us10005bps,2016-04-26T17:51:18.456Z,"290km SE of Lambasa, Fiji",earthquake,11.6,8.2,0.073,57,reviewed,us,us
2016-04-26T17:19:40.237Z,38.0855,-118.8544,3.6,1.1,ml,11,184.05,0.062,0.136,nn,nn00541911,2016-04-26T17:33:50.459Z,"38km ESE of Bridgeport, California",earthquake,,9.6,0.09,3,reviewed,nn,nn
2016-04-26T17:18:56.750Z,-18.98,-177.003,341.03,4.6,mb,,81,4.853,1.44,us,us10005bnw,2016-04-26T17:37:36.125Z,"256km NE of Ndoi Island, Fiji",earthquake,10.1,7.5,0.065,71,reviewed,us,us
2016-04-26T17:10:03.070Z,36.0428333,-117.8023333,1.08,1.48,ml,27,52,0.03482,0.18,ci,ci37336607,2016-04-26T18:26:31.979Z,"13km E of Coso Junction, CA",earthquake,0.21,0.29,0.199,19,reviewed,ci,ci
2016-04-26T16:59:44.670Z,30.2667,131.1017,13.45,4.4,mb,,174,1.358,0.72,us,us10005bnt,2016-04-26T19:50:56.483Z,"52km S of Nishinoomote, Japan",earthquake,9.1,2.6,0.12,20,reviewed,us,us
2016-04-26T16:58:31.000Z,61.7091,-146.6237,20,1.8,ml,,,,0.67,ak,ak13497155,2016-04-26T17:55:10.634Z,"66km NNW of Valdez, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-04-26T16:58:01.441Z,40.6169,-119.4554,0,1.3,ml,3,333.74,0.729,0.131,nn,nn00541970,2016-04-26T20:45:31.151Z,"7km WNW of Gerlach-Empire, Nevada",earthquake,,0,0.13,3,reviewed,nn,nn
